id,fullName,currentTeam,primaryPosition
472551,Fernando Abad,Colorado Rockies,Pitcher
671096,Andrew Abbott,null,Pitcher
676265,Cory Abbott,null,Pitcher
682928,CJ Abrams,null,Batter
656061,Albert Abreu,null,Pitcher
650556,Bryan Abreu,null,Pitcher
547989,Jose Abreu,null,Batter
642758,Domingo Acevedo,Oakland Athletics,Pitcher
670183,Garrett Acton,Oakland Athletics,Pitcher
660670,Ronald Acuna Jr.,null,Batter
592094,Jason Adam,null,Pitcher
642715,Willy Adames,null,Batter
613534,Austin Adams,null,Pitcher
656180,Riley Adams,null,Batter
686654,Ty Adcock,null,Pitcher
666176,Jo Adell,Los Angeles Angels,Batter
501303,Ehire Adrianza,Atlanta Braves,Batter
542583,Jesus Aguilar,Oakland Athletics,Batter
605113,Nick Ahmed,null,Batter
669211,Keegan Akin,null,Pitcher
593643,Hanser Alberto,Chicago White Sox,Batter
645277,Ozzie Albies,null,Batter
660896,Jorge Alcala,Minnesota Twins,Pitcher
645261,Sandy Alcantara,null,Pitcher
518397,Scott Alexander,null,Pitcher
641302,Tyler Alexander,null,Pitcher
595751,Jorge Alfaro,null,Batter
656185,Greg Allen,New York Yankees,Batter
671106,Logan Allen,null,Pitcher
669397,Nick Allen,Oakland Athletics,Batter
622075,Yency Almonte,null,Pitcher
624413,Pete Alonso,New York Mets,Batter
514888,Jose Altuve,null,Batter
666906,Jake Alu,Washington Nationals,Batter
621237,Jose Alvarado,null,Pitcher
682626,Francisco Alvarez,null,Batter
670541,Yordan Alvarez,Houston Astros,Batter
640470,Adbert Alzolay,null,Pitcher
665804,Miguel Amaya,null,Batter
605119,Brian Anderson,null,Batter
681982,Grant Anderson,null,Pitcher
623433,Nick Anderson,null,Pitcher
502624,Chase Anderson,null,Pitcher
641313,Tim Anderson,null,Batter
542881,Tyler Anderson,null,Pitcher
462101,Elvis Andrus,null,Batter
609280,Miguel Andujar,Pittsburgh Pirates,Batter
606115,Orlando Arcia,null,Batter
571448,Nolan Arenado,null,Batter
672356,Gabriel Arias,null,Batter
542888,Shawn Armstrong,null,Pitcher
668227,Randy Arozarena,null,Batter
650333,Luis Arraez,null,Batter
624414,Christian Arroyo,null,Batter
668933,Graham Ashcraft,Cincinnati Reds,Pitcher
665871,Javier Assad,null,Pitcher
640492,Jose Azocar,San Diego Padres,Batter
696147,Sam Bachman,null,Pitcher
668731,Akil Baddoo,Detroit Tigers,Batter
664056,Harrison Bader,New York Yankees,Batter
678225,Ji Hwan Bae,null,Batter
595879,Javier Baez,null,Batter
672275,Patrick Bailey,null,Batter
641329,Bryan Baker,null,Pitcher
663609,Luken Baker,null,Batter
607455,Anthony Banda,Washington Nationals,Pitcher
621383,Tanner Banks,null,Pitcher
676625,Rylan Bannon,Houston Astros,Batter
453268,Daniel Bard,null,Pitcher
669618,Joe Barlow,null,Pitcher
605130,Scott Barlow,null,Pitcher
605131,Austin Barnes,null,Batter
598264,Matt Barnes,Miami Marlins,Pitcher
571466,Tucker Barnhart,null,Batter
668663,Tres Barrera,St. Louis Cardinals,Batter
676480,Jose Barrero,Cincinnati Reds,Batter
642545,Jaime Barria,null,Pitcher
663698,Joey Bart,San Francisco Giants,Batter
542914,Anthony Bass,Toronto Blue Jays,Pitcher
605135,Chris Bassitt,null,Pitcher
685410,Peyton Battenfield,Cleveland Guardians,Pitcher
683146,Brett Baty,null,Batter
641343,Jake Bauers,null,Batter
657508,Mike Baumann,null,Pitcher
642585,Felix Bautista,null,Pitcher
607461,Matt Beaty,San Francisco Giants,Batter
663941,Tristan Beck,San Francisco Giants,Pitcher
670280,David Bednar,null,Pitcher
656222,Jalen Beeks,Tampa Bay Rays,Pitcher
605137,Josh Bell,null,Batter
571479,Andrew Bellatti,Philadelphia Phillies,Pitcher
641355,Cody Bellinger,null,Batter
678394,Brayan Bello,null,Pitcher
474832,Brandon Belt,Toronto Blue Jays,Batter
621532,Anthony Bemboom,Baltimore Orioles,Batter
643217,Andrew Benintendi,null,Batter
666181,Will Benson,null,Batter
657514,Brennan Bernardino,null,Pitcher
621244,Jose Berrios,null,Pitcher
542932,Jon Berti,null,Batter
542194,Christian Bethancourt,null,Batter
605141,Mookie Betts,null,Batter
676440,Tanner Bibee,null,Pitcher
666182,Bo Bichette,null,Batter
641360,Phil Bickford,Los Angeles Dodgers,Pitcher
674370,Osvaldo Bido,null,Pitcher
669456,Shane Bieber,null,Pitcher
656232,Brandon Bielak,null,Pitcher
624415,Cavan Biggio,null,Batter
656234,Jake Bird,null,Pitcher
621389,Ty Blach,Colorado Rockies,Pitcher
621112,Paul Blackburn,null,Pitcher
453568,Charlie Blackmon,Colorado Rockies,Batter
680118,Dairon Blanco,null,Batter
669854,Ronel Blanco,null,Pitcher
668709,JJ Bleday,null,Batter
542947,Richard Bleier,Boston Red Sox,Pitcher
593428,Xander Bogaerts,null,Batter
664761,Alec Bohm,null,Batter
675989,Cody Bolton,Pittsburgh Pirates,Pitcher
502202,Brad Boxberger,Chicago Cubs,Pitcher
571510,Matthew Boyd,null,Pitcher
611093,Silvino Bracho,Cincinnati Reds,Pitcher
674003,Cody Bradford,null,Pitcher
680694,Kyle Bradish,null,Pitcher
605151,Archie Bradley,null,Pitcher
598265,Jackie Bradley Jr.,Kansas City Royals,Batter
671737,Taj Bradley,null,Pitcher
666374,Matt Brash,null,Pitcher
518489,Ryan Brasier,Boston Red Sox,Pitcher
623211,Huascar Brazoban,Miami Marlins,Pitcher
605154,John Brebbia,null,Pitcher
608324,Alex Bregman,null,Batter
686823,Will Brennan,null,Batter
605155,Colten Brewer,New York Yankees,Pitcher
681146,Jonah Bride,null,Batter
656257,Jeff Brigham,null,Pitcher
668754,Braden Bristo,Detroit Tigers,Pitcher
666745,Jhony Brito,New York Yankees,Pitcher
641401,Connor Brogdon,Philadelphia Phillies,Pitcher
670712,Mike Brosseau,Milwaukee Brewers,Batter
686613,Hunter Brown,null,Pitcher
664913,Seth Brown,null,Batter
677865,Justin Bruihl,Los Angeles Dodgers,Pitcher
660644,Vidal Brujan,null,Batter
592178,Kris Bryant,Colorado Rockies,Batter
663460,Kris Bubic,Kansas City Royals,Pitcher
656266,J.B. Bukauskas,Seattle Mariners,Pitcher
518516,Madison Bumgarner,Arizona Diamondbacks,Pitcher
607481,Aaron Bummer,null,Pitcher
595897,Nick Burdi,Chicago Cubs,Pitcher
641420,Zack Burdi,Tampa Bay Rays,Pitcher
680814,Peyton Burdick,Miami Marlins,Batter
669394,Jake Burger,null,Batter
656271,Brock Burke,null,Pitcher
676475,Alec Burleson,null,Batter
669203,Corbin Burnes,null,Pitcher
683737,Michael Busch,null,Batter
641427,Alan Busenitz,Cincinnati Reds,Pitcher
456713,Matt Bush,Milwaukee Brewers,Pitcher
676130,Jose Butto,New York Mets,Pitcher
621439,Byron Buxton,null,Batter
676609,Jose Caballero,null,Batter
665795,Edward Cabrera,null,Pitcher
650893,Genesis Cabrera,null,Pitcher
408234,Miguel Cabrera,null,Batter
665828,Oswaldo Cabrera,null,Batter
641432,Willie Calhoun,null,Batter
669743,Alex Call,Washington Nationals,Batter
663971,Blair Calvo,Colorado Rockies,Pitcher
669134,Luis Campusano,San Diego Padres,Batter
600869,Jeimer Candelario,null,Batter
592192,Mark Canha,null,Batter
656288,Griffin Canning,null,Pitcher
666974,Yennier Cano,null,Pitcher
668843,Conner Capel,Oakland Athletics,Batter
571539,Matt Carasiti,null,Pitcher
605170,Victor Caratini,null,Batter
666185,Dylan Carlson,null,Batter
656290,Drew Carlton,null,Pitcher
681481,Kerry Carpenter,null,Batter
572761,Matt Carpenter,null,Batter
471911,Carlos Carrasco,null,Pitcher
682998,Corbin Carroll,null,Batter
592200,Curt Casali,null,Batter
671213,Triston Casas,null,Batter
641447,Daniel Castano,Miami Marlins,Pitcher
592206,Nick Castellanos,null,Batter
650895,Diego Castillo,Seattle Mariners,Pitcher
622491,Luis Castillo,null,Pitcher
666721,Max Castillo,Kansas City Royals,Pitcher
605612,Harold Castro,null,Batter
612434,Miguel Castro,null,Pitcher
666801,Rodolfo Castro,null,Batter
650489,Willi Castro,null,Batter
595909,Jake Cave,Philadelphia Phillies,Batter
656302,Dylan Cease,null,Pitcher
570666,Luis Cessa,Cincinnati Reds,Pitcher
605177,Andrew Chafin,null,Pitcher
644374,Yu Chang,Boston Red Sox,Batter
547973,Aroldis Chapman,null,Pitcher
656305,Matt Chapman,null,Batter
608638,JT Chargois,null,Pitcher
445926,Jesse Chavez,Atlanta Braves,Pitcher
656308,Michael Chavis,null,Batter
630023,Yonny Chirinos,null,Pitcher
665862,Jazz Chisholm Jr.,Miami Marlins,Batter
596847,Ji Man Choi,Pittsburgh Pirates,Batter
643256,Adam Cimber,null,Pitcher
542585,Jose Cisnero,null,Pitcher
650644,Aaron Civale,null,Pitcher
664199,Taylor Clarke,null,Pitcher
661403,Emmanuel Clase,null,Pitcher
592222,Alex Claudio,Milwaukee Brewers,Pitcher
664076,Garrett Cleavinger,Tampa Bay Rays,Pitcher
665019,Kody Clemens,null,Batter
676391,Ernie Clement,null,Batter
605182,Mike Clevinger,Chicago White Sox,Pitcher
502171,Alex Cobb,null,Pitcher
693049,Oscar Colas,Chicago White Sox,Batter
543037,Gerrit Cole,null,Pitcher
669395,Dylan Coleman,Kansas City Royals,Pitcher
517008,Alex Colome,Chicago White Sox,Pitcher
624424,Michael Conforto,null,Batter
672710,Roansy Contreras,null,Pitcher
661388,William Contreras,null,Batter
575929,Willson Contreras,null,Batter
643265,Garrett Cooper,null,Batter
571578,Patrick Corbin,null,Pitcher
614173,Franchy Cordero,New York Yankees,Batter
622772,Jimmy Cordero,null,Pitcher
621043,Carlos Correa,null,Batter
641482,Nestor Cortes,New York Yankees,Pitcher
676680,Tom Cosgrove,San Diego Padres,Pitcher
543056,Danny Coulombe,null,Pitcher
664776,Jake Cousins,Milwaukee Brewers,Pitcher
592229,Dylan Covey,null,Pitcher
680735,Austin Cox,null,Pitcher
543063,Brandon Crawford,null,Batter
641487,J.P. Crawford,null,Batter
676710,Kutter Crawford,null,Pitcher
622503,Nabil Crismatt,null,Pitcher
681867,Cooper Criswell,Tampa Bay Rays,Pitcher
676979,Garrett Crochet,null,Pitcher
543068,C.J. Cron,Colorado Rockies,Batter
630105,Jake Cronenworth,null,Batter
640444,Wil Crowe,Pittsburgh Pirates,Pitcher
518585,Fernando Cruz,null,Pitcher
443558,Nelson Cruz,null,Batter
665833,Oneil Cruz,Pittsburgh Pirates,Batter
621016,Jose Cuas,null,Pitcher
456501,Johnny Cueto,Miami Marlins,Pitcher
518586,Charlie Culberson,null,Batter
675540,Xzavion Curry,null,Pitcher
595928,John Curtiss,null,Pitcher
664202,Tyler Cyr,Los Angeles Dodgers,Pitcher
621311,David Dahl,San Diego Padres,Batter
666915,Bobby Dalbec,Boston Red Sox,Batter
506433,Yu Darvish,null,Pitcher
656353,Tucker Davidson,null,Pitcher
605200,Zach Davies,null,Pitcher
605204,J.D. Davis,null,Batter
641505,Jonathan Davis,null,Batter
663562,Noah Davis,Colorado Rockies,Pitcher
602074,Yonathan Daza,Colorado Rockies,Batter
608328,Chase De Jong,Pittsburgh Pirates,Pitcher
650559,Bryan De La Cruz,null,Batter
682829,Elly De La Cruz,null,Batter
592254,Jose De Leon,null,Pitcher
660853,Enyel De Los Santos,null,Pitcher
660787,Yerry De Los Santos,null,Pitcher
657557,Paul DeJong,null,Batter
543101,Anthony DeSclafani,null,Pitcher
641511,Jason Delay,null,Batter
676356,Jonny Deluca,null,Batter
571616,Matt Dermody,Boston Red Sox,Pitcher
672282,Reid Detmers,null,Pitcher
606965,Chris Devenski,null,Pitcher
646240,Rafael Devers,null,Batter
649557,Aledmys Diaz,null,Batter
664747,Alexis Diaz,null,Pitcher
553869,Elias Diaz,null,Batter
672478,Jordan Diaz,Oakland Athletics,Batter
673237,Yainer Diaz,null,Batter
650490,Yandy Diaz,null,Batter
572816,Corey Dickerson,null,Batter
518617,Jake Diekman,null,Pitcher
641525,Brandon Dixon,null,Batter
689266,Dylan Dodd,Atlanta Braves,Pitcher
622554,Seranthony Dominguez,null,Pitcher
518626,Josh Donaldson,null,Batter
680977,Brendan Donovan,null,Batter
666808,Camilo Doval,null,Pitcher
669023,Jeter Downs,Washington Nationals,Batter
686668,Brenton Doyle,null,Batter
641531,Hunter Dozier,Kansas City Royals,Batter
592273,Brandon Drury,null,Batter
650960,Daniel Duarte,null,Pitcher
643289,Mauricio Dubon,null,Batter
622110,Matt Duffy,null,Batter
641540,Dane Dunning,null,Pitcher
677649,Ezequiel Duran,null,Batter
680776,Jarren Duran,null,Batter
661395,Jhoan Duran,null,Pitcher
594807,Adam Duvall,null,Batter
681987,Nate Eaton,Kansas City Royals,Batter
669242,Tommy Edman,null,Batter
605218,Carl Edwards Jr.,null,Pitcher
669364,Xavier Edwards,Miami Marlins,Batter
621107,Zach Eflin,null,Pitcher
693821,Bryce Elder,null,Pitcher
656403,Drew Ellis,Philadelphia Phillies,Batter
641553,Adam Engel,San Diego Padres,Batter
669438,Mason Englert,null,Pitcher
543135,Nathan Eovaldi,null,Pitcher
668674,Lucas Erceg,null,Pitcher
500871,Eduardo Escobar,null,Batter
669289,Santiago Espinal,null,Batter
608032,Carlos Estevez,null,Pitcher
669093,Jeremiah Estrada,Chicago Cubs,Pitcher
642731,Thairo Estrada,null,Batter
656412,Alex Faedo,Detroit Tigers,Pitcher
664126,Pete Fairbanks,null,Pitcher
656413,Stuart Fairchild,null,Batter
663559,Bailey Falter,Philadelphia Phillies,Pitcher
544727,Jeurys Familia,Oakland Athletics,Pitcher
571656,Buck Farmer,null,Pitcher
571657,Kyle Farmer,null,Batter
676534,Calvin Faucher,Tampa Bay Rays,Pitcher
663372,Ryan Feltner,Colorado Rockies,Pitcher
657571,Caleb Ferguson,null,Pitcher
666023,Freddy Fermin,null,Batter
670036,Matt Festa,Seattle Mariners,Pitcher
640448,Kyle Finnegan,null,Pitcher
656427,Jack Flaherty,null,Pitcher
676596,Josh Fleming,Tampa Bay Rays,Pitcher
664058,David Fletcher,Los Angeles Angels,Batter
666150,Dominic Fletcher,Arizona Diamondbacks,Batter
623167,Chris Flexen,null,Pitcher
527038,Wilmer Flores,null,Batter
664314,Estevan Florial,New York Yankees,Batter
571670,Dylan Floro,null,Pitcher
671345,Jason Foley,null,Pitcher
645801,Mike Ford,null,Batter
663743,Nick Fortes,null,Batter
641584,Jake Fraley,Cincinnati Reds,Batter
641585,J.P. France,null,Pitcher
664034,Ty France,null,Batter
670102,Bowden Francis,null,Pitcher
677551,Wander Franco,null,Batter
624428,Adam Frazier,null,Batter
640449,Clint Frazier,null,Batter
607536,Kyle Freeland,null,Pitcher
518692,Freddie Freeman,null,Batter
671289,Tyler Freeman,null,Batter
666818,Luis Frias,Arizona Diamondbacks,Pitcher
608331,Max Fried,Atlanta Braves,Pitcher
670770,TJ Friedl,null,Batter
681807,David Fry,null,Batter
660261,Shintaro Fujinami,null,Pitcher
605242,Michael Fulmer,null,Pitcher
683769,Hunter Gaddis,Cleveland Guardians,Pitcher
657424,Matt Gage,Houston Astros,Pitcher
595956,Cam Gallagher,null,Batter
606149,Giovanny Gallegos,null,Pitcher
668678,Zac Gallen,null,Pitcher
608336,Joey Gallo,null,Batter
541645,Avisail Garcia,Miami Marlins,Batter
665620,Deivi Garcia,New York Yankees,Pitcher
666969,Adolis Garcia,null,Batter
670329,Rico Garcia,Oakland Athletics,Pitcher
671277,Luis Garcia,null,Batter
677651,Luis Garcia,Houston Astros,Pitcher
472610,Luis Garcia,null,Pitcher
672580,Maikel Garcia,null,Batter
554340,Yimi Garcia,null,Pitcher
664247,Kyle Garlick,Minnesota Twins,Batter
607237,Amir Garrett,Kansas City Royals,Pitcher
666129,Braxton Garrett,null,Pitcher
656448,Stone Garrett,null,Batter
657585,Reed Garrett,Baltimore Orioles,Pitcher
641598,Mitch Garver,null,Batter
621057,Justin Garza,null,Pitcher
592332,Kevin Gausman,null,Pitcher
593334,Domingo German,null,Pitcher
664139,Ian Gibaut,null,Pitcher
502043,Kyle Gibson,null,Pitcher
669302,Logan Gilbert,null,Pitcher
670810,Logan Gillaspie,Baltimore Orioles,Pitcher
665926,Andres Gimenez,null,Batter
656464,Kevin Ginkel,Arizona Diamondbacks,Pitcher
608337,Lucas Giolito,null,Pitcher
571710,Mychal Givens,Baltimore Orioles,Pitcher
607192,Tyler Glasnow,null,Pitcher
502671,Paul Goldschmidt,null,Batter
596295,Austin Gomber,null,Pitcher
543228,Yan Gomes,null,Batter
664062,Tony Gonsolin,null,Pitcher
594835,Marco Gonzales,Seattle Mariners,Pitcher
592346,Chi Chi Gonzalez,Miami Marlins,Pitcher
660757,Oscar Gonzalez,Cleveland Guardians,Batter
663853,Romy Gonzalez,null,Batter
624647,Victor Gonzalez,null,Pitcher
624503,Nick Gordon,Minnesota Twins,Batter
669022,MacKenzie Gore,null,Pitcher
669357,Nolan Gorman,null,Batter
641627,Trevor Gott,Seattle Mariners,Pitcher
518735,Yasmani Grandal,null,Batter
660813,Brusdar Graterol,null,Pitcher
608665,Kendall Graveman,null,Pitcher
592351,Jon Gray,null,Pitcher
680686,Josiah Gray,null,Pitcher
543243,Sonny Gray,null,Pitcher
668881,Hunter Greene,null,Pitcher
682985,Riley Greene,Detroit Tigers,Batter
425844,Zack Greinke,null,Pitcher
545341,Randal Grichuk,null,Batter
663757,Trent Grisham,null,Batter
687093,Vaughn Grissom,Atlanta Braves,Batter
543257,Robbie Grossman,null,Batter
675627,Michael Grove,Los Angeles Dodgers,Pitcher
642770,Javy Guerra,Tampa Bay Rays,Pitcher
665489,Vladimir Guerrero Jr.,null,Batter
641645,Luis Guillorme,null,Batter
666971,Lourdes Gurriel Jr.,null,Batter
493329,Yuli Gurriel,null,Batter
656495,Dalton Guthrie,Philadelphia Phillies,Batter
606992,Eric Haase,null,Batter
623352,Josh Hader,null,Pitcher
664059,Sam Haggerty,Seattle Mariners,Batter
669742,Darick Hall,Philadelphia Phillies,Batter
669084,DL Hall,Baltimore Orioles,Pitcher
571740,Billy Hamilton,Chicago White Sox,Batter
641656,Ian Hamilton,New York Yankees,Pitcher
641658,Garrett Hampson,null,Batter
543272,Brad Hand,null,Pitcher
571745,Mitch Haniger,San Francisco Giants,Batter
664023,Ian Happ,null,Batter
547180,Bryce Harper,null,Batter
663687,Hogan Harris,null,Pitcher
671739,Michael Harris II,null,Batter
665048,Hobie Harris,Washington Nationals,Pitcher
543281,Josh Harrison,null,Batter
640451,Hunter Harvey,null,Pitcher
656514,Adam Haseley,Chicago White Sox,Batter
641672,Thomas Hatch,Toronto Blue Jays,Pitcher
663647,Ke'Bryan Hayes,null,Batter
669720,Austin Hays,null,Batter
687396,Brent Headrick,null,Pitcher
571760,Andrew Heaney,null,Pitcher
621368,Taylor Hearn,Texas Rangers,Pitcher
669169,Jonathan Heasley,Kansas City Royals,Pitcher
595978,Austin Hedges,null,Batter
641680,Jonah Heim,null,Batter
623168,Tyler Heineman,Toronto Blue Jays,Batter
621294,Ben Heller,null,Pitcher
664854,Ryan Helsley,St. Louis Cardinals,Pitcher
592390,Heath Hembree,Tampa Bay Rays,Pitcher
683002,Gunnar Henderson,null,Batter
543294,Kyle Hendricks,null,Pitcher
521230,Liam Hendriks,Chicago White Sox,Pitcher
674072,Tommy Henry,null,Pitcher
682073,David Hensley,Houston Astros,Batter
656529,Sam Hentges,null,Pitcher
623474,Jimmy Herget,Los Angeles Angels,Pitcher
643361,Kevin Herget,Cincinnati Reds,Pitcher
672578,Carlos Hernandez,null,Pitcher
571771,Enrique Hernandez,null,Batter
642546,Jonathan Hernandez,Texas Rangers,Pitcher
669796,Jose Hernandez,null,Pitcher
606192,Teoscar Hernandez,null,Batter
660634,Yonny Hernandez,Los Angeles Dodgers,Batter
645444,Jose Herrera,Arizona Diamondbacks,Batter
682120,Tim Herrin,Cleveland Guardians,Pitcher
518792,Jason Heyward,null,Batter
543305,Aaron Hicks,null,Batter
663855,Jordan Hicks,null,Pitcher
543309,Kyle Higashioka,null,Batter
682051,Garrett Hill,Detroit Tigers,Pitcher
448179,Rich Hill,null,Pitcher
657612,Tim Hill,null,Pitcher
656541,Sam Hilliard,null,Batter
663546,Sean Hjelle,San Francisco Giants,Pitcher
663773,Bryan Hoeing,null,Pitcher
663538,Nico Hoerner,null,Batter
656546,Jeff Hoffman,null,Pitcher
670059,Colin Holderman,Pittsburgh Pirates,Pitcher
605280,Clay Holmes,null,Pitcher
663947,Tyler Holton,null,Pitcher
641703,Brent Honeywell,null,Pitcher
686759,TJ Hopkins,null,Batter
687462,Spencer Horwitz,null,Batter
543333,Eric Hosmer,Chicago Cubs,Batter
656557,Tanner Houck,null,Pitcher
605288,Adrian Houser,null,Pitcher
675921,Spencer Howard,Texas Rangers,Pitcher
669087,Sam Huff,null,Batter
676714,Brandon Hughes,Chicago Cubs,Pitcher
669450,Cooper Hummel,Seattle Mariners,Batter
488984,Tommy Hunter,New York Mets,Pitcher
628451,Andy Ibanez,null,Batter
628452,Raisel Iglesias,null,Pitcher
663697,Jonathan India,null,Batter
688427,Kolton Ingram,null,Pitcher
608344,Cole Irvin,null,Pitcher
663623,Jake Irvin,null,Pitcher
664728,Kyle Isbel,Kansas City Royals,Batter
656578,Andre Jackson,Los Angeles Dodgers,Pitcher
592426,Luke Jackson,null,Pitcher
543351,Jay Jackson,Toronto Blue Jays,Pitcher
667427,Zach Jackson,Oakland Athletics,Pitcher
682175,Joe Jacques,null,Pitcher
686753,Drey Jameson,null,Pitcher
608671,Travis Jankowski,null,Batter
643376,Danny Jansen,null,Batter
445276,Kenley Jansen,null,Pitcher
664299,Cristian Javier,null,Pitcher
643377,Griffin Jax,null,Pitcher
680777,Ryan Jeffers,null,Batter
666204,Dany Jimenez,Oakland Athletics,Pitcher
650391,Eloy Jimenez,null,Batter
641729,Joe Jimenez,null,Pitcher
656582,Connor Joe,null,Batter
669369,Bryce Johnson,San Francisco Giants,Batter
572955,Pierce Johnson,null,Pitcher
666134,Nolan Jones,null,Batter
690829,Ben Joyce,Los Angeles Angels,Pitcher
592450,Aaron Judge,New York Yankees,Batter
666397,Edouard Julien,null,Batter
667452,Corey Julks,null,Batter
673962,Josh Jung,null,Batter
596001,Jakob Junis,null,Pitcher
676083,Janson Junk,Milwaukee Brewers,Pitcher
592454,Tommy Kahnle,null,Pitcher
621076,James Kaprielian,null,Pitcher
676689,Ricky Karcher,Cincinnati Reds,Pitcher
675916,James Karinchak,Cleveland Guardians,Pitcher
666154,Karl Kauffmann,Colorado Rockies,Pitcher
641743,Anthony Kay,null,Pitcher
672284,Jarred Kelenic,null,Batter
641745,Brad Keller,Kansas City Royals,Pitcher
656605,Mitch Keller,null,Pitcher
665001,Trevor Kelley,Tampa Bay Rays,Pitcher
608348,Carson Kelly,null,Batter
523260,Joe Kelly,null,Pitcher
518876,Merrill Kelly,null,Pitcher
687330,Kevin Kelly,null,Pitcher
677161,Zack Kelly,Boston Red Sox,Pitcher
643393,Tony Kemp,null,Batter
453178,Ian Kennedy,Texas Rangers,Pitcher
596146,Max Kepler,null,Batter
678061,Ray Kerr,null,Pitcher
477132,Clayton Kershaw,null,Pitcher
666197,Grae Kessinger,null,Batter
595281,Kevin Kiermaier,null,Batter
579328,Yusei Kikuchi,null,Pitcher
668873,Caleb Kilian,Chicago Cubs,Pitcher
673490,Ha-Seong Kim,null,Batter
518886,Craig Kimbrel,null,Pitcher
643396,Isiah Kiner-Falefa,null,Batter
667463,John King,null,Pitcher
650633,Michael King,null,Pitcher
669923,George Kirby,null,Pitcher
666135,Alex Kirilloff,null,Batter
672386,Alejandro Kirk,null,Batter
446372,Corey Kluber,null,Pitcher
663753,Reiss Knehr,San Diego Padres,Pitcher
668800,Andrew Knizner,null,Batter
592473,Adam Kolarek,Los Angeles Dodgers,Pitcher
656627,Mark Kolozsvary,Baltimore Orioles,Batter
656629,Michael Kopech,null,Pitcher
663804,Jackson Kowar,null,Pitcher
668952,Ryan Kreidler,Detroit Tigers,Batter
665152,Dean Kremer,null,Pitcher
640454,Matt Krook,null,Pitcher
641771,Chad Kuhl,null,Pitcher
669270,Joel Kuhnel,Cincinnati Reds,Pitcher
680757,Steven Kwan,null,Batter
686747,Joe La Sorsa,Tampa Bay Rays,Pitcher
600303,Tommy La Stella,Seattle Mariners,Batter
571875,Jake Lamb,Los Angeles Angels,Batter
669424,Jimmy Lambert,Chicago White Sox,Pitcher
663567,Peter Lambert,null,Pitcher
659275,Dinelson Lamet,null,Pitcher
656638,Alex Lange,null,Pitcher
669127,Shea Langeliers,null,Batter
663616,Trevor Larnach,Minnesota Twins,Batter
641778,Eric Lauer,Milwaukee Brewers,Pitcher
657656,Ramon Laureano,null,Batter
571882,Derek Law,Cincinnati Reds,Pitcher
664875,Justin Lawrence,null,Pitcher
518934,DJ LeMahieu,null,Batter
600917,Jose Leclerc,null,Pitcher
669276,Dylan Lee,Atlanta Braves,Pitcher
668984,Casey Legumina,null,Pitcher
643410,Mark Leiter Jr.,null,Pitcher
506702,Sandy Leon,Texas Rangers,Batter
608678,Dominic Leone,null,Pitcher
623507,Josh Lester,null,Batter
